specname,classification,spectral_type,forb_visual_comments,halpha_profile_comments,l6300,l6363,l6548,l6584,l6717,l6732,lamost_design_id,_RAJ2000,_DEJ2000,subclass,snru,snrg,snrr,snri,snrz,2MASS,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,AllWISE,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,qph,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,objID_panstarrs,Av,Av_lower,Av_upper,n(J-K),n(K-W2),(J-H)_0,(H-K)_0,(W1-W2)_0,(W2-W3)_0,e_(J-H)_0,e_(H-K)_0,(BP-RP)_0,abs_Vmag,abs_Vmag_u,abs_Vmag_l,e_absV_u,e_absV_l,Name_our,Name_unique,source_id,ra,ra_error,dec,dec_error,parallax_x,parallax_error_x,parallax_over_error,pm,pmra,pmra_error_x,pmdec_x,pmdec_error_x,ruwe,duplicated_source,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,(B-V)_0,
spec-56322-GAC089N24V2_sp16-153.fits.gz,Evolved*,08Ib," no forb; strong ha,hb em, paschen-ca em",Single Peak; peak above continuum,no,no,no,no,no,no,LAMOST J055233.63+254550.6,88.140152,25.764075,A0III,21.03,76.59,143.63,215.98,169.15,05523363+2545506,9.285,8.91,8.51,0.024,0.046,0.021,AAA,212,0,J055233.63+254550.6,7.86,7.517,6.718,5.924,0.025,0.019,0.016,0.052,AAAA,0.907,0.045,11.379,0.042,12.286,0.017,1.38910881401088E+017,3.04184403920174,2.62128274700642,3.06924801306725,-2.16382173967832,-1.87566041663938,0.034313467609405,0.238782265922308,0.343,0.799,0.051884487084291,0.050566787519082,-0.057264560426952,-5.39547053972931,-4.81321411605579,-6.05294699932586,0.58225642367352,0.657476459596555,LEMC 0898,LEMC 0898,3.42910897153064E+018,88.14012704546,0.0356,25.76406504176,0.0284,0.2964,0.041,7.2274,1.337,-0.079,0.043,-1.335,0.029,2.311,false,10.97623,11.561537,10.215412,1.271,1.346125,0.002814,0.003133,0.00409,3085.1926,2777.771,3391.8994,2863.8281,2439.698,3267.8687,-0.074240012645723,
spec-56343-GAC075N39V3_sp16-147.fits.gz,Evolved*,08Ib," no forb; strong ha, hb em, pachen-ca em",Single Peak; peak above continuum,no,no,no,no,no,no,LAMOST J045518.02+413721.8,73.825084,41.62273,A1V,26.82,71.25,101.46,126.04,92.85,04551802+4137218,9.695,9.385,9.008,0.021,0.033,0.016,AAA,222,0,J045518.01+413721.7,8.519,8.174,7.473,6.011,0.023,0.021,0.019,0.06,AAAA,0.556,0.045,11.136,0.034,11.692,0.029,1.57940738252638E+017,1.15096796406508,0.885078184747696,1.53462400653362,-1.76114667184988,-1.88725060047209,0.181091588024712,0.315998697904551,0.345000000000001,0.701,0.039115214431216,0.036674241641785,0.19114315539137,-2.33087418807171,-1.80214424735709,-2.98422494885794,0.528729940714623,0.653350760786225,LEMC 0968,LEMC 0968,2.01850543652598E+017,73.82508610535,0.0245,41.62270914743,0.0176,0.3543,0.029,12.2174,1.911,-0.491,0.041,-1.847,0.032,1.74,false,10.907043,11.185309,10.275443,1.314,0.909866,0.003107,0.004543,0.005763,2582.1448,2420.5247,2786.391,2580.147,2426.5266,2753.3066,0.18472001159191,
spec-56994-HD230130N570619V01_sp03-128.fits.gz,Evolved*,09Ib," no forb; ha, hb em, paschen em",Single Peak; peak above continuum,no,no,no,no,no,no,LAMOST J225714.68+572845.1,344.311169,57.479209,A2V,106.45,303.8,383.45,502.41,438.01,22571477+5728452,9.234,8.824,8.521,0.03,0.03,0.02,AAA,122,0,J225714.77+572845.2,9.397,9.278,8.912,7.862,0.023,0.02,0.03,0.135,AAAB,0.631,0.158,10.971,0.098,11.603,0.124,1.76973443117396E+017,1.64423990199566,1.34565881460905,1.64423990199566,-1.8611739209275,-3.87039482115921,0.225845130976486,0.215855285194229,0.119000000000002,0.365999999999998,0.042426406871193,0.03605551275464,0.109775951067376,-2.94476663447803,-2.74876223710369,-3.15875588169621,0.196004397374333,0.21398924721818,LEMC 0107,LEMC 0107,2.01011025721825E+018,344.31153621634,0.0098,57.47922013494,0.0093,0.3206,0.0116,27.7503,4.037,-3.037,0.012,-2.66,0.011,0.962,false,10.696592,11.054783,10.155374,1.214,0.899409,0.006499,0.014249,0.021658,2966.8943,2890.7786,3056.3193,2962.019,2863.358,3051.5488,0.100600031614303,
spec-56322-GAC089N24V2_sp08-161.fits.gz,Evolved*,09Ib," no forb; clean spectra, strong ha, hb em, paschen/ca em",Single Peak; peak above continuum,no,no,no,no,no,no,LAMOST J055931.26+232242.7,89.880254,23.378553,A0III,37.52,132.96,257.67,384.24,307.74,05593126+2322427,9.575,9.245,8.872,0.019,0.028,0.021,AAA,222,0,J055931.26+232242.7,8.434,8.129,7.411,6.483,0.022,0.019,0.018,0.064,AAAA,0.843,0.068,11.676,0.063,12.519,0.025,1.36050898802455E+017,2.37154596152306,2.32933990199566,2.45188910367489,-2.08836028890608,-2.11535778476905,0.064386852309417,0.247308064039277,0.305,0.717999999999999,0.033837848631377,0.035,0.09121993019719,-3.63806316083639,-3.31793965745402,-4.00453908927021,0.320123503382366,0.366475928433819,LEMC 0482,LEMC 0482,3.42475720328899E+018,89.88026363489,0.0167,23.37856620427,0.0139,0.2019,0.0186,10.8327,0.306,0.122,0.023,-0.281,0.017,1.048,false,11.279575,11.831252,10.551931,1.259,1.279321,0.003159,0.00545,0.006348,4253.123,3942.3752,4554.4873,4304.777,4065.6497,4614.084,0.077985173702239,
spec-56583-GAC093N22V2_sp02-035.fits.gz,Evolved*,09Ib,no forb; strong ha; hb em; bad spectra; paschen em,Single Peak; peak above continuum,no,no,no,no,no,no,LAMOST J060635.51+213327.9,91.647969,21.557754,A2V,28.02,82.88,165.56,232.82,182.6,06063551+2133279,10.816,10.485,10.128,0.021,0.018,0.018,AAA,222,0,J060635.51+213327.9,9.565,9.251,8.517,7.842,0.024,0.02,0.027,0.207,AAAB,0.733,0.056,12.655,0.048,13.388,0.029,1.3386091647966E+017,2.32933990199566,2.292428363657,2.32933990199566,-2.1008669088409,-1.94826636680876,0.070113930976486,0.233544985194229,0.314,0.733999999999998,0.027658633371879,0.025455844122716,-0.005400748932624,-2.52201286832661,-2.21515603235617,-2.87148686793613,0.306856835970445,0.349473999609517,LEMC 0829,LEMC 0829,3.42336598178134E+018,91.64797570901,0.0116,21.55776168835,0.0095,0.2648,0.0137,19.3578,0.835,-0.152,0.017,-0.822,0.01,0.945,false,12.252847,12.752874,11.591212,1.232,1.161662,0.002913,0.005535,0.006393,3576.0852,3396.6675,3733.1404,3540.4321,3332.5847,3775.4548,-0.018399968385697,
spec-56949-HD213239N421743V01_sp04-088.fits.gz,Evolved*,09Ib,no forb,Single Peak; peak above continuum,no,no,no,no,no,no,LAMOST J213341.59+415206.7,323.423299,41.868551,B9,166.04,353.61,511.75,582.44,443.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58243234231843E+017,,,,,,,,,,,,,,,,,,LEMC 0072,LEMC 0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spec-57439-KP062257N223048V01_sp14-051.fits.gz,Evolved*,09Ib,no forb; noisy spectra; not well normalized; small ha em,Single Peak; peak below continuum,no,no,no,no,no,no,LAMOST J061613.48+224548.7,94.056205,22.76355,A2V,20.21,40.71,46.4,36.46,37.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEMC 1572,LEMC 1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spec-56609-GAC093N22B1_sp13-059.fits.gz,A[e],A0," yes forb - nii, sii",Single Peak; peak above continuum,no,no,no,yes,maybe,maybe,LAMOST J062113.70+230024.2,95.307087,23.006729,A1IV,3.72,43.57,82.91,98.24,68.84,06211369+2300242,13.738,13.487,13.334,0.029,0.041,0.03,AAA,222,0,J062113.70+230024.1,13.252,13.342,12.282,8.662,0.027,0.036,,,AAUU,0.753,0.116,15.462,0.108,16.214,0.042,1.35600953070859E+017,2.06356895294189,2.01585766289234,2.15890006232262,-2.49216238403188,-2.99944770341013,0.019880277270508,0.043630845494079,-0.09,1.06,0.050219518117959,0.050803543183522,0.098848641917421,1.51085847869377,1.70334230530024,1.30087153693096,0.19248382660647,0.209986941762814,LEMC 1478,LEMC 1478,3.37726589876993E+018,95.30709271001,0.0284,23.00672632119,0.0247,0.4143,0.0307,13.5108,2.602,0.547,0.034,-2.544,0.026,1.07,false,15.239284,15.671627,14.615862,1.234,1.055765,0.002791,0.003713,0.004068,2186.4343,2076.578,2375.1877,2212.6555,2046.386,2339.95,0.087332595825197,
spec-57690-GAC102N05M1_sp14-122.fits.gz,A[e],A0," yes forb- nii forb, lots of unidentified lines, noisy",Single Peak; peak above continuum,yes,yes,yes,yes,yes,maybe,LAMOST J064350.39+055514.2,100.95999,5.920627,A2IV,2.7,14.7,13.05,14.44,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEMC 2743,LEMC 2743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spec-57034-GAC080N33M2_sp14-165.fits.gz,A[e],A0," yes forb-nii, sii, noisy, unidentified lines present",Single Peak; peak above continuum,yes,maybe,yes,yes,yes,yes,LAMOST J051253.63+343508.8,78.223466,34.585794,A2IV,1.05,14.45,25.72,43.12,30.02,05125362+3435087,15.361,15.091,14.916,0.052,0.103,0.101,AAA,222,0,,,,,,,,,,,,,,,,,1.49500782234474E+017,2.10070100104809,1.80866390852928,2.21972400653362,-2.43531439565139,,0.034721487882614,0.063662846944452,,,0.115381974328749,0.144256715614907,,,,,,,LEMC 2757,LEMC 2757,1.8223082810275E+017,78.22347212106,0.0663,34.58577252201,0.0378,0.1651,0.0705,2.3437,1.136,1.093,0.087,-0.308,0.058,0.998,false,17.080297,17.6197,16.369902,1.251,1.249798,0.002826,0.008337,0.005303,4725.727,3728.3462,6191.266,3586.2964,2927.565,4382.567,,
spec-56580-GAC088N20M1_sp04-201.fits.gz,A[e],A0," yes-nii, noisy",unclassified,maybe,no,maybe,yes,maybe,yes,LAMOST J055419.09+204641.5,88.579583,20.778196,A2IV,1.77,13.72,13.39,17.76,11.56,05541911+2046416,14.895,14.753,14.499,0.056,0.087,0.088,AAA,222,0,,,,,,,,,,,,,,,,,1.32930885796334E+017,1.42795477492809,1.21691043000221,1.47981589546204,-2.32121898306908,,-0.017930934791947,0.178318396928811,,,0.103464969917359,0.123745706996243,,,,,,,LEMC 2814,LEMC 2814,3.42386193024465E+018,88.57962287703,0.046,20.77826972803,0.0375,0.17,0.0549,3.098,1.125,-0.335,0.06,-1.074,0.043,0.917,false,16.24043,16.593529,15.694864,1.22,0.898665,0.002834,0.005099,0.004585,4539.539,3692.8967,5616.519,3882.8481,3396.1038,4527.351,,
spec-57384-GAC093N22B1_sp13-084.fits.gz,A[e],A0," yes-sii, noisy",Single Peak; peak below continuum,no,no,no,yes,yes,yes,LAMOST J061902.50+225507.1,94.760444,22.918663,A2IV,2.36,12.78,13.91,8.35,6.85,06190250+2255072,13.236,12.888,12.674,0.024,0.03,0.025,AAA,222,0,J061902.51+225507.2,12.603,12.572,11.591,8.84,0.024,0.026,,,AAUU,0.639,0.087,14.938,0.038,15.577,0.078,1.35500947604483E+017,0.767312003266811,0.739907947731018,0.79471597713232,-1.85611597609292,-2.74094545624555,0.262061055634116,0.173332463826858,0.030999999999999,0.981000000000002,0.038418745424597,0.039051248379533,0.395762094964421,3.2602261374037,3.47865382475998,3.01871154057012,0.218427687356275,0.241514596833582,LEMC 2880,LEMC 2880,3.3774367353897E+018,94.7604495717,0.0512,22.91865977142,0.044,0.5781,0.0609,9.4911,2.033,0.098,0.07,-2.03,0.06,2.377,false,14.772463,15.159038,14.157561,1.25,1.001476,0.002896,0.003328,0.004166,1627.1014,1494.8441,1822.2853,1577.9779,1451.5574,1755.6469,0.39147999894619,
spec-57399-GAC085N14M1_sp01-205.fits.gz,A[e],A0," yes forb- nii, sii, noisy, not well normalized",Single Peak; peak above continuum,maybe,maybe,yes,yes,yes,yes,LAMOST J054148.98+115030.6,85.454089,11.841842,A2IV,2.47,11.87,16.11,17.85,10.66,05414901+1150300,15.921,16.083,16.686,0.112,0.246,,BDU,220,0,,,,,,,,,,,,,,,,,1.22210854540911E+017,0.767312003266811,0.767312003266811,0.767312003266811,-4.04420881665804,,-0.247938944365882,-0.643667536173143,,,0.27029613389762,,,,,,,,LEMC 2947,LEMC 2947,3.34030062708114E+018,85.45410350125,0.0606,11.84183185615,0.0477,0.0513,0.0753,0.6822,1.116,0.387,0.081,-1.047,0.055,1.013,false,17.185509,17.423544,16.763718,1.203,0.659826,0.002876,0.007348,0.00681,5618.915,4521.0747,7850.7866,6238.928,5283.696,7525.5464,,
